time,SLP_N,SNO_N,TS_N,Extent_Had_Diff_N
2046-05-01,101711.16,7.837407e-06,265.63477,-2.0707774048598075
2046-06-01,101474.49,4.7433746e-06,275.18256,-2.366271561854667
2046-07-01,101175.64,4.16718e-06,277.41153,-2.8659418597177115
2046-08-01,100751.84,6.9090497e-06,276.02472,-1.8538685463946667
2046-09-01,101036.27,9.879646e-06,270.27124,-1.1291950763923815
2046-10-01,101455.555,1.0718506e-05,262.10434,-1.849672822861141
2046-11-01,100994.67,9.952202e-06,250.7849,-2.9397874447055194
2046-12-01,101551.14,9.677903e-06,247.98991,-3.648596262696765
2047-01-01,102122.234,7.9043275e-06,247.9577,-3.997344897355811
2047-02-01,102759.914,7.10559e-06,245.89485,-4.201268796743998
2047-03-01,101617.46,7.097316e-06,246.76366,-3.6021706736777084
2047-04-01,102028.25,7.710744e-06,254.53044,-2.4449036482940976
2047-05-01,101939.375,7.2401112e-06,266.30377,-2.0808078474878062
2047-06-01,101249.77,4.915719e-06,275.0578,-2.8729695761146647
2047-07-01,100977.13,4.807097e-06,277.58755,-3.0882459180977104
2047-08-01,101080.8,4.1202784e-06,276.4395,-1.9783989041106649
2047-09-01,100654.17,1.0614047e-05,270.28625,-0.8307016117203823
2047-10-01,101309.06,1.0055781e-05,259.97482,-2.1085932437171433
2047-11-01,102297.555,8.71309e-06,252.567,-3.3166593267015223
2047-12-01,101409.12,9.182023e-06,247.80965,-4.386210004104761
2048-01-01,101250.445,9.20162e-06,246.98242,-4.142458068811806
2048-02-01,101885.33,7.712803e-06,245.27277,-4.139686914416
2048-03-01,101406.11,9.2598675e-06,249.37372,-3.97269856139771
2048-04-01,101908.46,7.781286e-06,256.69434,-3.3149676132460932
2048-05-01,101602.27,8.461474e-06,267.04886,-2.7773898979798
2048-06-01,101296.51,5.3679805e-06,274.88083,-2.727440297254665
2048-07-01,101302.02,2.680092e-06,277.58118,-3.0460254092497117
2048-08-01,100973.53,5.5753935e-06,275.75558,-1.947496464254666
2048-09-01,101173.086,8.819393e-06,269.5358,-0.8822557789363845
2048-10-01,101349.55,1.0420842e-05,260.54303,-1.8771618431171433
2048-11-01,101369.06,9.557576e-06,252.38269,-3.093496928465525
2048-12-01,100790.414,9.92012e-06,249.067,-3.7542192966407626
2049-01-01,102068.984,7.217102e-06,246.99536,-4.19411749517981
2049-02-01,101420.11,8.305979e-06,248.01175,-4.059340749347999
2049-03-01,101574.234,8.146975e-06,249.65143,-3.9223033382537125
2049-04-01,101588.77,8.682834e-06,257.32297,-3.0888811982180986
2049-05-01,101304.44,8.644086e-06,267.96255,-2.498796472543807
2049-06-01,101463.81,3.7727182e-06,275.58295,-3.055831093010669
2049-07-01,101140.555,2.8477555e-06,277.565,-3.2818167575457124
2049-08-01,101056.98,3.6497565e-06,276.16217,-2.662073198502666
2049-09-01,101143.02,1.0305152e-05,270.94727,-1.9686483332083826
2049-10-01,101642.9,9.484374e-06,261.58917,-2.715849289405144
2049-11-01,101085.63,1.0088238e-05,253.8591,-3.4437604679255216
2049-12-01,101139.85,9.126164e-06,248.49399,-3.6928247782447645
2050-01-01,102012.45,7.804005e-06,246.55125,-3.9615357559238102
2050-02-01,101764.08,7.5569137e-06,245.96214,-3.8455758355199965
2050-03-01,102102.58,7.397049e-06,248.99492,-3.5398568442697176
2050-04-01,101901.88,7.227471e-06,256.85745,-2.7141815497260993
2050-05-01,101755.05,7.139501e-06,268.2771,-1.8846255359398079
2050-06-01,101815.9,3.6817987e-06,275.97305,-2.656424794662664
2050-07-01,101315.1,1.9509232e-06,277.66275,-3.5401606354457122
2050-08-01,101150.5,4.7772965e-06,276.64774,-2.7075371923106655
2050-09-01,101300.984,9.19316e-06,271.40427,-1.5854568190803828
2050-10-01,101373.6,1.072442e-05,263.06927,-2.9656602847211433
2050-11-01,101052.62,9.972728e-06,253.69514,-3.285257934389522
2050-12-01,101606.73,7.680691e-06,249.49217,-3.6217067445047633
2051-01-01,100958.37,8.605195e-06,244.40627,-4.089907832611811
2051-02-01,100905.93,9.136303e-06,245.35005,-4.3516946743439995
2051-03-01,101974.41,7.176948e-06,249.76698,-4.309495152045715
2051-04-01,101372.805,9.332117e-06,257.4872,-3.4314019010140946
2051-05-01,101842.35,7.65297e-06,268.53467,-2.9690120616318065
2051-06-01,101753.82,3.4512213e-06,275.7138,-2.9209322254026677
2051-07-01,101239.81,3.056798e-06,277.86472,-3.3381944340817125
2051-08-01,101047.54,6.8821373e-06,276.26932,-2.2836379065106653
2051-09-01,101363.06,9.021868e-06,270.06635,-1.307934338552383
2051-10-01,100994.47,1.0850023e-05,260.6137,-2.330728064805143
2051-11-01,100430.75,1.0387967e-05,253.25435,-3.052087474253522
2051-12-01,101210.43,9.42182e-06,248.748,-3.773374850604762
